#fooey
{Gr} {Ra} {Sc} {$C_1$} {$C_2$} {$C_3$} {$C_7$} {$C_5$} {$E_d$} {$E_m$}
692964.6455628168 1385929.2911256335 2.0  0.460  136.337  1.000  1.048  3.182 0.007395720689721514 0.020384168312433244
692964.6455628168 692964.6455628168 1.0  0.445  146.660  1.000  1.141  2.475 0.004853970323713934 0.013311324823302266
173241.1613907042 692964.6455628168 4.0  0.470  201.922  1.000  3.162  3.292 0.004341353447994019 0.010236674162292033
173241.1613907042 346482.3227814084 2.0  0.414  197.257  1.000  2.483  2.701 0.0034189678921733016 0.0055119672681079816
173241.1613907042 173241.1613907042 1.0  0.375  179.767  1.000  1.728  2.390 0.00303992076181175 0.0023539808858821392
43310.29034767605 346482.3227814084 8.0  0.304  161.065  1.000  2.489  3.855 0.0028943599507393765 0.002421063428575145
43310.29034767605 173241.1613907042 4.0  0.281  147.937  1.000  2.011  3.143 0.002598006215997617 0.0018466525112564502
43310.29034767605 86620.5806953521 2.0  0.387   98.997  1.000  1.283  2.568 0.0025491039620466915 0.014164572282501271
43310.29034767605 43310.29034767605 1.0  0.000   96.492  1.536  1.021  2.265 0.001409638601073921 0.01215759914214636
10827.572586919012 173241.1613907042 16.0  0.000  158.808  1.000  2.654  3.628 0.0014848024339166785 0.015446558513356783
10827.572586919012 86620.5806953521 8.0  0.455  110.974  1.001  1.442  2.723 0.0037128835744736793 0.03456240252779027
10827.572586919012 43310.29034767605 4.0  0.538   79.408  1.000  1.095  2.403 0.003337058351334953 0.03679091068853064
10827.572586919012 21655.145173838024 2.0  0.000   82.388  2.032  1.041  2.363 0.0009340691267273185 0.01503672074882447
10827.572586919012 10827.572586919012 1.0  1.045  119.247  2.943  1.000  2.256 0.028742967201593587 0.012371682041232604
2706.893146729753 86620.5806953521 32.0  1.220   85.010  1.015  1.420  2.829 0.003849925579061884 0.027680324744755996
2706.893146729753 43310.29034767605 16.0  0.558   72.706  1.204  1.077  2.437 0.007499491815673474 0.036678457895670244
2706.893146729753 21655.145173838024 8.0  0.187   69.853  2.412  1.065  2.453 0.0024649917904689045 0.02316009315768098
2706.893146729753 10827.572586919012 4.0  0.905   68.221  3.225  1.000  2.402 0.011214343494392306 0.011164633563662098
676.7232866824382 43310.29034767605 64.0  1.628   65.706  2.438  1.124  2.570 0.004009556613952026 0.029075327557533635
676.7232866824382 21655.145173838024 32.0  0.521   66.870  3.939  1.065  2.487 0.005498420096896765 0.02462074369556291
676.7232866824382 10827.572586919012 16.0  0.000   69.509  9.101  1.000  2.469 0.0021885695339222038 0.009531416459097787
